,secID,ticker,secShortName,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,navChg,navChgPct,adjNavChgPct,partyID,partyShortName
136,510050.XSHG,510050,华夏上证50ETF,2015-07-24,2.741,2015-07-25,3.589,CNY,3.9226,-0.05,-1.7915,-1.7926,26812,华夏基金
137,510050.XSHG,510050,华夏上证50ETF,2015-07-27,2.496,2015-07-28,3.299,CNY,3.572,-0.245,-8.9383,-8.938,26812,华夏基金
138,510050.XSHG,510050,华夏上证50ETF,2015-07-28,2.488,2015-07-29,3.29,CNY,3.5606,-0.008,-0.3205,-0.3192,26812,华夏基金
139,510050.XSHG,510050,华夏上证50ETF,2015-07-29,2.534,2015-07-30,3.344,CNY,3.6264,0.046,1.8489,1.848,26812,华夏基金
140,510050.XSHG,510050,华夏上证50ETF,2015-07-30,2.47,2015-07-31,3.269,CNY,3.5348,-0.064,-2.5257,-2.526,26812,华夏基金
141,510050.XSHG,510050,华夏上证50ETF,2015-07-31,2.464,2015-08-01,3.261,CNY,3.5262,-0.006,-0.2429,-0.2433,26812,华夏基金
142,510050.XSHG,510050,华夏上证50ETF,2015-08-03,2.483,2015-08-04,3.284,CNY,3.5534,0.019,0.7711,0.7713,26812,华夏基金
143,510050.XSHG,510050,华夏上证50ETF,2015-08-04,2.537,2015-08-05,3.348,CNY,3.6307,0.054,2.1748,2.1753,26812,华夏基金
144,510050.XSHG,510050,华夏上证50ETF,2015-08-05,2.49,2015-08-06,3.292,CNY,3.5634,-0.047,-1.8526,-1.8537,26812,华夏基金
145,510050.XSHG,510050,华夏上证50ETF,2015-08-06,2.47,2015-08-07,3.269,CNY,3.5348,-0.02,-0.8032,-0.8027,26812,华夏基金
146,510050.XSHG,510050,华夏上证50ETF,2015-08-07,2.506,2015-08-08,3.311,CNY,3.5863,0.036,1.4575,1.4569,26812,华夏基金
147,510050.XSHG,510050,华夏上证50ETF,2015-08-10,2.618,2015-08-11,3.444,CNY,3.7466,0.112,4.4693,4.4697,26812,华夏基金
148,510050.XSHG,510050,华夏上证50ETF,2015-08-11,2.591,2015-08-12,3.412,CNY,3.708,-0.027,-1.0313,-1.0303,26812,华夏基金
149,510050.XSHG,510050,华夏上证50ETF,2015-08-12,2.561,2015-08-13,3.376,CNY,3.665,-0.03,-1.1579,-1.1597,26812,华夏基金
150,510050.XSHG,510050,华夏上证50ETF,2015-08-13,2.581,2015-08-14,3.4,CNY,3.6937,0.02,0.7809,0.783,26812,华夏基金
151,510050.XSHG,510050,华夏上证50ETF,2015-08-14,2.578,2015-08-15,3.396,CNY,3.6894,-0.003,-0.1162,-0.1165,26812,华夏基金
152,510050.XSHG,510050,华夏上证50ETF,2015-08-17,2.552,2015-08-18,3.366,CNY,3.6522,-0.026,-1.0085,-1.0083,26812,华夏基金
153,510050.XSHG,510050,华夏上证50ETF,2015-08-18,2.41,2015-08-19,3.198,CNY,3.4489,-0.142,-5.5643,-5.5666,26812,华夏基金
154,510050.XSHG,510050,华夏上证50ETF,2015-08-19,2.432,2015-08-20,3.224,CNY,3.4804,0.022,0.9129,0.9133,26812,华夏基金
155,510050.XSHG,510050,华夏上证50ETF,2015-08-20,2.36,2015-08-21,3.138,CNY,3.3774,-0.072,-2.9605,-2.9595,26812,华夏基金
156,510050.XSHG,510050,华夏上证50ETF,2015-08-21,2.275,2015-08-22,3.038,CNY,3.2557,-0.085,-3.6017,-3.6034,26812,华夏基金
